date,swb_respect
2011m1,1.374905
2011m2,1.4914
2011m3,1.371347
2011m4,1.075198
2011m5,.8651155
2011m6,.7715187
2011m7,.3193698
2011m8,-.3251494
2011m9,-.3248942
2011m10,.1398434
2011m11,.8384584
2011m12,1.152864
2012m1,1.004768
2012m2,.8706884
2012m3,.715613
2012m4,.4666012
2012m5,-.0135277
2012m6,-.1912579
2012m7,.0962922
2012m8,.6207697
2012m9,1.023273
2012m10,1.577447
2012m11,1.969764
2012m12,2.026022
2013m1,1.856845
2013m2,1.451446
2013m3,1.114406
2013m4,.7319793
2013m5,.2608008
2013m6,.0301997
2013m7,.200518
2013m8,.3955707
2013m9,.7365305
2013m10,1.247481
2013m11,1.618043
2013m12,1.725452
2014m1,1.699325
2014m2,1.722129
2014m3,1.601031
2014m4,1.377851
2014m5,.8636836
2014m6,.5412158
2014m7,.7625074
2014m8,1.01063
2014m9,1.398786
2014m10,2.01718
2014m11,2.62978
2014m12,2.752805
2015m1,2.403798
2015m2,2.165538
2015m3,2.029776
2015m4,1.839932
2015m5,1.557451
2015m6,1.537831
2015m7,1.534702
2015m8,1.197372
2015m9,1.274905
2015m10,1.881054
2015m11,2.653517
2015m12,3.007673
2016m1,2.7925
2016m2,2.419145
2016m3,2.176822
2016m4,1.996514
