date,swb_job_satisfaction
2011m1,.9705436
2011m2,.4753022
2011m3,.211587
2011m4,-.0679162
2011m5,-.3792174
2011m6,-.2020683
2011m7,-.2211559
2011m8,-.5462391
2011m9,-.7995986
2011m10,-.6386137
2011m11,-.2412924
2011m12,.1534394
2012m1,.4440915
2012m2,.210917
2012m3,-.0468744
2012m4,-.2826931
2012m5,-.3282503
2012m6,-.2154216
2012m7,.0465572
2012m8,.0419226
2012m9,.0781578
2012m10,.3868097
2012m11,.5285909
2012m12,.3999314
2013m1,.2802383
2013m2,-.0726239
2013m3,-.3219529
2013m4,-.5849667
2013m5,-.7716357
2013m6,-.720727
2013m7,-.6398439
2013m8,-.6675414
2013m9,-.5650636
2013m10,-.2901364
2013m11,-.1994716
2013m12,-.0249741
2014m1,.1544847
2014m2,-.0222176
2014m3,-.2560202
2014m4,-.6446465
2014m5,-.8958953
2014m6,-.8449813
2014m7,-.9275736
2014m8,-1.46831
2014m9,-1.803447
2014m10,-1.677505
2014m11,-1.379272
2014m12,-.992266
2015m1,-.6849035
2015m2,-.9840993
2015m3,-1.537472
2015m4,-1.96577
2015m5,-2.074956
2015m6,-1.721264
2015m7,-1.377554
2015m8,-1.557233
2015m9,-2.016068
2015m10,-2.16583
2015m11,-2.319211
2015m12,-2.028404
2016m1,-1.638586
2016m2,-1.599387
2016m3,-1.396387
2016m4,-.965515
