region,date,islam
Rhone-Alpes,2013m1,-.11878416
Rhone-Alpes,2013m2,.42040694
Rhone-Alpes,2013m3,-.65388858
Rhone-Alpes,2013m4,-.37917042
Rhone-Alpes,2013m5,-.0042043775
Rhone-Alpes,2013m6,-.78643709
Rhone-Alpes,2013m7,.065676063
Rhone-Alpes,2013m8,.064146191
Rhone-Alpes,2013m9,-.39617208
Rhone-Alpes,2013m10,.21216187
Rhone-Alpes,2013m11,-.31173977
Rhone-Alpes,2013m12,.22581506
Rhone-Alpes,2014m1,.36309403
Rhone-Alpes,2014m2,-.19355944
Rhone-Alpes,2014m3,-.35344616
Rhone-Alpes,2014m4,-.3908411
Rhone-Alpes,2014m5,.16258591
Rhone-Alpes,2014m6,.53354567
Rhone-Alpes,2014m7,.11642589
Rhone-Alpes,2014m8,.069250681
Rhone-Alpes,2014m9,-.22762342
Rhone-Alpes,2014m10,-1.2781074
Rhone-Alpes,2014m11,-.55893016
Rhone-Alpes,2014m12,.80737662
Rhone-Alpes,2015m1,3.3606281
Rhone-Alpes,2015m2,1.1163727
Rhone-Alpes,2015m3,.62037313
Rhone-Alpes,2015m4,.2035742
Rhone-Alpes,2015m5,-.64246291
Rhone-Alpes,2015m6,-.0014033467
Rhone-Alpes,2015m7,.40313911
Rhone-Alpes,2015m8,-.15016216
Rhone-Alpes,2015m9,-.62172014
Rhone-Alpes,2015m10,-.27585897
Rhone-Alpes,2015m11,1.667583
Rhone-Alpes,2015m12,.92233551
Rhone-Alpes,2016m1,.30893773
Rhone-Alpes,2016m2,-.20663962
Rhone-Alpes,2016m3,-.39321676
Rhone-Alpes,2016m4,-1.0314856
Rhone-Alpes,2016m5,-.50490785
Rhone-Alpes,2016m6,-.069869265
Rhone-Alpes,2016m7,.43314803
Rhone-Alpes,2016m8,.15223743
Rhone-Alpes,2016m9,-.3873328
Rhone-Alpes,2016m10,-.55461866
Rhone-Alpes,2016m11,-.38001621
Rhone-Alpes,2016m12,-.58372265
Rhone-Alpes,2017m1,.013631132
Rhone-Alpes,2017m2,-.29486945
Rhone-Alpes,2017m3,-.67753124
